doi	title	citation_count
10.1093/nar/gkae410	The Galaxy platform for accessible, reproducible, and collaborative data analyses: 2024 update	511
10.1093/nar/gkac247	The Galaxy platform for accessible, reproducible and collaborative biomedical analyses: 2022 update	834
10.1093/nar/gkaa434	The Galaxy platform for accessible, reproducible and collaborative biomedical analyses: 2020 update	403
10.1093/nar/gky379	The Galaxy platform for accessible, reproducible and collaborative biomedical analyses: 2018 update	2870
10.1093/nar/gkw343	The Galaxy platform for accessible, reproducible and collaborative biomedical analyses: 2016 update	1523
10.1186/gb-2012-13-10-r86	Enhanced top-down characterization of histone post-translational modifications	124
10.1186/gb-2010-11-8-r86	Galaxy: a comprehensive approach for supporting accessible, reproducible, and transparent computational research in the life sciences	2901
10.1101/gr.4086505	Galaxy: A platform for interactive large-scale genome analysis	1659
10.1038/s41587-020-0439-x	The nf-core framework for community-curated bioinformatics pipelines	2202
10.1038/nbt.3820	Nextflow enables reproducible computational workflows	2467
10.1186/s13059-025-03673-9	Empowering bioinformatics communities with Nextflow and nf-core	16
10.1101/2024.05.10.592912		
10.12688/f1000research.29032.2	Sustainable data analysis with Snakemake	1008
10.1093/bioinformatics/bts480	Snakemake-a scalable bioinformatics workflow engine	1724
10.1038/nbt.3772	Toil enables reproducible, open source, big biomedical data analyses	1017
10.6084/m9.figshare.3115156.v2		
10.1016/j.jbiotec.2017.07.028	KNIME for reproducible cross-domain analysis of life science data	174
10.1145/1656274.1656280		
10.1007/978-3-030-28954-6_1	Towards Explainable Artificial Intelligence	568
10.1093/bioinformatics/bts167	Bpipe: A tool for running and managing bioinformatics pipelines	118
10.1093/bioinformatics/btx152	HiC-spector: A matrix library for spectral and reproducibility analysis of Hi-C contact maps	69
10.1093/gigascience/giz044	Scipipe: A workflow library for agile development of complex and dynamic bioinformatics pipelines	31
10.1101/201178		
